,hotel_id,price,stock,city,date,language,mobile,avatar_id,index_request,group,brand,parking,pool,children_policy
0,639,149,110,valletta,35,greek,1,155054,1.0,Yin Yang,Royal Lotus,0,1,0
1,376,159,115,valletta,35,greek,1,155054,1.0,Accar Hotels,Marcure,0,0,0
2,985,68,70,valletta,35,greek,1,155054,1.0,Independant,Independant,1,0,0
3,377,127,84,valletta,35,greek,1,155054,1.0,Boss Western,J.Halliday Inn,1,0,0
4,200,130,80,valletta,35,greek,1,155054,1.0,Boss Western,J.Halliday Inn,0,0,0
5,371,92,66,valletta,35,greek,1,155054,1.0,Independant,Independant,0,0,0
6,504,149,111,valletta,35,greek,1,155054,1.0,Morriott International,Morriot,0,0,0
7,404,133,32,valletta,35,greek,1,155054,1.0,Independant,Independant,0,0,0
8,988,128,74,valletta,35,greek,1,155054,1.0,Boss Western,J.Halliday Inn,1,0,0
9,244,245,139,valletta,35,greek,1,155054,1.0,Accar Hotels,Safitel,1,1,0
10,521,67,36,valletta,35,greek,1,155054,1.0,Accar Hotels,Ibas,1,0,0
11,501,74,32,valletta,35,greek,1,155054,1.0,Yin Yang,8 Premium,1,0,0
12,160,92,31,valletta,35,greek,1,155054,1.0,Independant,Independant,1,0,0
13,859,132,72,valletta,35,greek,1,155054,1.0,Independant,Independant,0,0,0
14,592,227,144,valletta,35,greek,1,155054,1.0,Morriott International,Corlton,1,1,0
15,466,130,80,valletta,35,greek,1,155054,1.0,Yin Yang,Ardisson,1,0,0
16,732,161,121,valletta,35,greek,1,155054,1.0,Accar Hotels,Marcure,0,0,0
17,861,159,103,valletta,35,greek,1,155054,1.0,Accar Hotels,Marcure,0,0,0
18,360,161,105,valletta,35,greek,1,155054,1.0,Accar Hotels,Marcure,1,0,0
19,598,134,82,valletta,35,greek,1,155054,1.0,Boss Western,J.Halliday Inn,1,1,0
20,237,143,76,valletta,35,greek,1,155054,1.0,Morriott International,CourtYord,1,0,0
21,491,157,115,valletta,35,greek,1,155054,1.0,Morriott International,Morriot,0,0,0
22,512,172,102,valletta,35,greek,1,155054,1.0,Yin Yang,Royal Lotus,1,1,0
23,709,135,76,valletta,35,greek,1,155054,1.0,Independant,Independant,1,0,0
24,389,98,59,valletta,35,greek,1,155054,1.0,Accar Hotels,Navatel,0,0,0
25,363,127,78,valletta,35,greek,1,155054,1.0,Boss Western,J.Halliday Inn,1,0,0
26,480,68,34,valletta,35,greek,1,155054,1.0,Independant,Independant,0,0,0
27,719,152,130,valletta,35,greek,1,155054,1.0,Yin Yang,Royal Lotus,0,0,0
28,295,70,31,valletta,35,greek,1,155054,1.0,Yin Yang,8 Premium,0,0,0
29,282,126,72,valletta,35,greek,1,155054,1.0,Yin Yang,Ardisson,0,0,0
30,476,124,40,valletta,35,greek,1,155054,1.0,Independant,Independant,1,0,0
31,81,127,86,valletta,35,greek,1,155054,1.0,Boss Western,J.Halliday Inn,0,0,0
